replicate,condition,pre_primary,post_primary,improvement,pre_lines_cleared,post_lines_cleared,lines_improvement,pre_elo,post_elo,training_steps,diagnosed_weakness,pre_hole_avoidance,post_hole_avoidance,pre_stack_height_management,post_stack_height_management,pre_surface_smoothness,post_surface_smoothness,pre_line_clearing_efficiency,post_line_clearing_efficiency
6,control,29.666666666666668,28.833333333333332,-0.8333333333333357,0.0,0.16666666666666666,0.16666666666666666,1500.0,1497.2790609856247,40,,-33.7128742188218,-33.82732032627866,-13.21382082299421,-12.534997795414462,-17.717756103912016,-16.512577160493827,0.0,0.005208333333333333
6,rating_only,29.666666666666668,25.666666666666668,-4.0,0.0,0.16666666666666666,0.16666666666666666,1500.0,1501.4021890822173,40,,-33.7128742188218,-41.947192028985505,-13.21382082299421,-13.89500670960816,-17.717756103912016,-19.283965713902308,0.0,0.005208333333333333
6,rating_history,29.666666666666668,25.666666666666668,-4.0,0.0,0.16666666666666666,0.16666666666666666,1500.0,1501.318749932158,40,hole_avoidance,-33.7128742188218,-41.947192028985505,-13.21382082299421,-13.89500670960816,-17.717756103912016,-19.283965713902308,0.0,0.005208333333333333
7,control,26.5,26.0,-0.5,0.3333333333333333,0.0,-0.3333333333333333,1500.0,1484.736306793522,40,,-43.51316467427662,-39.84525559941168,-13.690786009111847,-13.504167093241502,-19.379960033210907,-21.532647908655168,0.012993503248375811,0.0
7,rating_only,26.5,27.833333333333332,1.3333333333333321,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,1531.2298601853572,40,,-43.51316467427662,-40.53038778590503,-13.690786009111847,-14.078045977011493,-19.379960033210907,-21.236492511320098,0.012993503248375811,0.005747126436781609
7,rating_history,26.5,27.0,0.5,0.3333333333333333,0.0,-0.3333333333333333,1500.0,1484.0338330211207,40,hole_avoidance,-43.51316467427662,-38.74967149061352,-13.690786009111847,-13.727302354113949,-19.379960033210907,-21.654155425894558,0.012993503248375811,0.0
8,control,26.0,26.666666666666668,0.6666666666666679,0.0,0.0,0.0,1500.0,1466.3982767474292,40,,-39.66310344827586,-37.36647214854111,-13.251361521620142,-13.456065428824049,-20.161538040503558,-19.549283819628645,0.0,0.0
8,rating_only,26.0,26.833333333333332,0.8333333333333321,0.0,0.3333333333333333,0.3333333333333333,1500.0,1537.348144289428,40,,-39.66310344827586,-37.6145362566265,-13.251361521620142,-13.384405372789205,-20.161538040503558,-20.03430298099798,0.0,0.011328725038402458
8,rating_history,26.0,25.666666666666668,-0.33333333333333215,0.0,0.16666666666666666,0.16666666666666666,1500.0,1496.2535789631427,40,hole_avoidance,-39.66310344827586,-36.86747766226777,-13.251361521620142,-13.000240264483143,-20.161538040503558,-19.552292306227837,0.0,0.005952380952380952
9,control,28.333333333333332,27.666666666666668,-0.6666666666666643,0.3333333333333333,0.3333333333333333,0.0,1500.0,1496.262354005706,40,,-38.043255664088996,-36.3330097570689,-13.551579246370913,-13.368780746677484,-18.953424314882646,-20.229140587779817,0.010416666666666666,0.011123470522803115
9,rating_only,28.333333333333332,28.166666666666668,-0.1666666666666643,0.3333333333333333,0.3333333333333333,0.0,1500.0,1507.8222312186078,40,,-38.043255664088996,-35.53411204983786,-13.551579246370913,-13.528183684097662,-18.953424314882646,-22.113759384532234,0.010416666666666666,0.010584677419354838
9,rating_history,28.333333333333332,27.666666666666668,-0.6666666666666643,0.3333333333333333,0.3333333333333333,0.0,1500.0,1495.9154147756863,40,hole_avoidance,-38.043255664088996,-36.3330097570689,-13.551579246370913,-13.368780746677484,-18.953424314882646,-20.229140587779817,0.010416666666666666,0.011123470522803115
10,control,26.333333333333332,27.666666666666668,1.3333333333333357,0.0,0.6666666666666666,0.6666666666666666,1500.0,1484.736306793522,40,,-36.72187054620838,-37.13768010839615,-12.727201214207712,-13.555822545716389,-17.37546041793918,-18.607394246425176,0.0,0.02129817444219067
10,rating_only,26.333333333333332,27.833333333333332,1.5,0.0,0.8333333333333334,0.8333333333333334,1500.0,1531.2298601853572,40,,-36.72187054620838,-37.345005377213354,-12.727201214207712,-13.575143782275529,-17.37546041793918,-18.72096951524238,0.0,0.026506507775524
10,rating_history,26.333333333333332,27.666666666666668,1.3333333333333357,0.0,0.6666666666666666,0.6666666666666666,1500.0,1484.0338330211207,40,hole_avoidance,-36.72187054620838,-37.13768010839615,-12.727201214207712,-13.555822545716389,-17.37546041793918,-18.607394246425176,0.0,0.02129817444219067
11,control,28.5,28.833333333333332,0.33333333333333215,0.0,0.0,0.0,1500.0,1481.1881851620626,40,,-39.44776532329369,-35.13833407971339,-13.547194033256325,-13.497269492959148,-18.183814019375756,-19.9055829228243,0.0,0.0
11,rating_only,28.5,28.166666666666668,-0.33333333333333215,0.0,0.3333333333333333,0.3333333333333333,1500.0,1538.0147899541207,40,,-39.44776532329369,-34.54968013468013,-13.547194033256325,-13.425847362514029,-18.183814019375756,-19.464295735129067,0.0,0.010606060606060607
11,rating_history,28.5,26.0,-2.5,0.0,0.0,0.0,1500.0,1480.7970248838167,40,hole_avoidance,-39.44776532329369,-34.8164679615829,-13.547194033256325,-13.185321811011466,-18.183814019375756,-23.68207733943366,0.0,0.0
12,control,27.666666666666668,28.666666666666668,1.0,0.0,0.3333333333333333,0.3333333333333333,1500.0,1511.526311287191,40,,-39.75430625143269,-36.014683950060295,-13.638166697074743,-13.266271872293377,-17.562787999569608,-16.669523161028536,0.0,0.010426849136526556
12,rating_only,27.666666666666668,28.666666666666668,1.0,0.0,0.16666666666666666,0.16666666666666666,1500.0,1476.586902223225,40,,-39.75430625143269,-35.453876370543036,-13.638166697074743,-13.422122938789606,-17.562787999569608,-18.263044979711648,0.0,0.005050505050505051
12,rating_history,27.666666666666668,28.666666666666668,1.0,0.0,0.3333333333333333,0.3333333333333333,1500.0,1511.886786489584,40,hole_avoidance,-39.75430625143269,-36.014683950060295,-13.638166697074743,-13.266271872293377,-17.562787999569608,-16.669523161028536,0.0,0.010426849136526556
13,control,27.5,28.666666666666668,1.1666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1484.0,40,,-39.018844352752396,-32.73914342362618,-13.608411107836396,-12.993312051932742,-19.524822346661427,-19.48546290873877,0.005747126436781609,0.0
13,rating_only,27.5,28.166666666666668,0.6666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1484.736306793522,40,,-39.018844352752396,-34.5816739804504,-13.608411107836396,-13.390423629022072,-19.524822346661427,-20.921901420789073,0.005747126436781609,0.0
13,rating_history,27.5,29.333333333333332,1.8333333333333321,0.16666666666666666,0.16666666666666666,0.0,1500.0,1531.263693206478,40,hole_avoidance,-39.018844352752396,-37.620135603969494,-13.608411107836396,-13.406350790066028,-19.524822346661427,-17.737442076181416,0.005747126436781609,0.005050505050505051
14,control,29.333333333333332,27.333333333333332,-2.0,0.6666666666666666,0.16666666666666666,-0.5,1500.0,1483.7549786405673,40,,-36.464480256865315,-37.4725172975173,-13.797136112078642,-12.987230362230363,-19.59148670614188,-19.95307624474291,0.019624819624819625,0.005555555555555556
14,rating_only,29.333333333333332,26.5,-2.833333333333332,0.6666666666666666,0.0,-0.6666666666666666,1500.0,1467.5025337012833,40,,-36.464480256865315,-36.530942221197094,-13.797136112078642,-13.261281813305802,-19.59148670614188,-20.553951321042774,0.019624819624819625,0.0
14,rating_history,29.333333333333332,27.5,-1.8333333333333321,0.6666666666666666,0.5,-0.16666666666666663,1500.0,1548.7424876581495,40,hole_avoidance,-36.464480256865315,-36.99822237783404,-13.797136112078642,-13.086210937601418,-19.59148670614188,-18.233895579443395,0.019624819624819625,0.01555104800540906
15,control,27.0,26.5,-0.5,0.0,0.0,0.0,1500.0,1484.0,40,,-38.90285375118708,-37.607272300967956,-13.541854565187899,-13.141754083275822,-19.35713132546466,-19.569106339178802,0.0,0.0
15,rating_only,27.0,27.166666666666668,0.16666666666666785,0.0,0.0,0.0,1500.0,1484.736306793522,40,,-38.90285375118708,-37.33192791005291,-13.541854565187899,-13.46970238095238,-19.35713132546466,-19.261134259259258,0.0,0.0
15,rating_history,27.0,27.666666666666668,0.6666666666666679,0.0,0.16666666666666666,0.16666666666666666,1500.0,1531.263693206478,40,hole_avoidance,-38.90285375118708,-37.99214010004333,-13.541854565187899,-13.342715152231282,-19.35713132546466,-17.833560400173305,0.0,0.006410256410256411
16,control,28.5,25.5,-3.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1486.7343597853142,40,,-36.81819667355263,-37.52623195778993,-13.381873068841923,-13.048672043201028,-18.18338400692127,-20.90198719423357,0.005376344086021505,0.0
16,rating_only,28.5,29.5,1.0,0.16666666666666666,0.16666666666666666,0.0,1500.0,1527.0434691181956,40,,-36.81819667355263,-39.99174832112332,-13.381873068841923,-13.274594502719502,-18.18338400692127,-16.421272755022756,0.005376344086021505,0.005208333333333333
16,rating_history,28.5,28.0,-0.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1486.2221710964902,40,hole_avoidance,-36.81819667355263,-38.03378066378066,-13.381873068841923,-13.26020202020202,-18.18338400692127,-18.0843759018759,0.005376344086021505,0.0
17,control,27.333333333333332,28.166666666666668,0.8333333333333357,0.0,0.0,0.0,1500.0,1489.7316204839078,40,,-42.691883780332056,-38.192946803296266,-14.21713282247765,-13.204008899304597,-17.452482971477224,-17.47104854026897,0.0,0.0
17,rating_only,27.333333333333332,27.333333333333332,0.0,0.0,0.0,0.0,1500.0,1489.9897403489408,40,,-42.691883780332056,-37.489506172839505,-14.21713282247765,-13.513311862587225,-17.452482971477224,-19.00738056897477,0.0,0.0
17,rating_history,27.333333333333332,26.5,-0.8333333333333321,0.0,0.16666666666666666,0.16666666666666666,1500.0,1520.2786391671514,40,hole_avoidance,-42.691883780332056,-40.1528073181299,-14.21713282247765,-13.859744869825516,-17.452482971477224,-19.195288806175903,0.0,0.006410256410256411
18,control,27.166666666666668,26.666666666666668,-0.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1488.0930006490428,40,,-38.95739286045971,-36.91139884508164,-13.717290687772222,-13.120437710437711,-20.077378138112127,-17.797826653633106,0.0047619047619047615,0.0
18,rating_only,27.166666666666668,28.166666666666668,1.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1488.476205319311,40,,-38.95739286045971,-35.975800317179626,-13.717290687772222,-13.985055015227429,-20.077378138112127,-21.42708119892028,0.0047619047619047615,0.0
18,rating_history,27.166666666666668,29.0,1.8333333333333321,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,1523.4307940316462,40,hole_avoidance,-38.95739286045971,-39.87244015940252,-13.717290687772222,-13.862929732553388,-20.077378138112127,-17.99881107542398,0.0047619047619047615,0.01075268817204301
19,control,26.833333333333332,28.0,1.1666666666666679,0.0,0.0,0.0,1500.0,1484.736306793522,40,,-40.98236133256123,-34.22316358024691,-14.663399451068116,-12.647630664088997,-19.999366718757024,-18.27103191561525,0.0,0.0
19,rating_only,26.833333333333332,29.833333333333332,3.0,0.0,0.16666666666666666,0.16666666666666666,1500.0,1531.2298601853572,40,,-40.98236133256123,-34.356458333333336,-14.663399451068116,-13.239048579109063,-19.999366718757024,-17.245394585253457,0.0,0.005208333333333333
19,rating_history,26.833333333333332,29.166666666666668,2.3333333333333357,0.0,0.0,0.0,1500.0,1484.0338330211207,40,hole_avoidance,-40.98236133256123,-34.82331053802828,-14.663399451068116,-13.358450879317814,-19.999366718757024,-16.432614271928788,0.0,0.0
20,control,27.5,24.666666666666668,-2.833333333333332,0.0,0.0,0.0,1500.0,1500.0,40,,-35.46682098765432,-38.959215595193854,-13.376388888888888,-13.189812027746811,-18.32716049382716,-21.5461532268054,0.0,0.0
20,rating_only,27.5,25.833333333333332,-1.6666666666666679,0.0,0.0,0.0,1500.0,1500.0,40,,-35.46682098765432,-38.389527260179435,-13.376388888888888,-12.872446514837819,-18.32716049382716,-19.034429108197223,0.0,0.0
20,rating_history,27.5,26.666666666666668,-0.8333333333333321,0.0,0.0,0.0,1500.0,1500.0,40,hole_avoidance,-35.46682098765432,-35.65529609279609,-13.376388888888888,-13.18476800976801,-18.32716049382716,-18.353021978021978,0.0,0.0
21,control,27.0,26.666666666666668,-0.33333333333333215,0.0,0.16666666666666666,0.16666666666666666,1500.0,1500.0,40,,-31.22440910344136,-40.46324755491422,-12.994158395368073,-13.228485650152317,-23.724182627408435,-19.680576398909732,0.0,0.005555555555555556
21,rating_only,27.0,26.666666666666668,-0.33333333333333215,0.0,0.16666666666666666,0.16666666666666666,1500.0,1500.0,40,,-31.22440910344136,-40.01844236010903,-12.994158395368073,-13.29233846400513,-23.724182627408435,-19.117264710598043,0.0,0.005555555555555556
21,rating_history,27.0,26.666666666666668,-0.33333333333333215,0.0,0.16666666666666666,0.16666666666666666,1500.0,1500.0,40,hole_avoidance,-31.22440910344136,-40.67929693763027,-12.994158395368073,-13.228485650152317,-23.724182627408435,-19.316378868045536,0.0,0.005555555555555556
22,control,27.0,28.5,1.5,0.0,0.16666666666666666,0.16666666666666666,1500.0,1511.526311287191,40,,-38.45859051679932,-34.23954305725139,-13.146958973872131,-13.224479802604803,-17.483680983697106,-20.196089404422736,0.0,0.005952380952380952
22,rating_only,27.0,27.0,0.0,0.0,0.0,0.0,1500.0,1476.586902223225,40,,-38.45859051679932,-35.49702696305806,-13.146958973872131,-12.890196711447377,-17.483680983697106,-17.044365542406844,0.0,0.0
22,rating_history,27.0,28.5,1.5,0.0,0.16666666666666666,0.16666666666666666,1500.0,1511.886786489584,40,hole_avoidance,-38.45859051679932,-32.890653058361394,-13.146958973872131,-12.946891835016835,-17.483680983697106,-17.728504489337823,0.0,0.005050505050505051
23,control,26.5,27.0,0.5,0.16666666666666666,0.16666666666666666,0.0,1500.0,1520.9994575333424,40,,-39.889836919147264,-38.31609810479376,-13.44726643088712,-13.347473589212719,-18.728473654910438,-18.580188193449064,0.005555555555555556,0.005555555555555556
23,rating_only,26.5,27.0,0.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1474.0231421204358,40,,-39.889836919147264,-37.80671925941791,-13.44726643088712,-13.452185216915352,-18.728473654910438,-17.8455748316318,0.005555555555555556,0.0
23,rating_history,26.5,28.833333333333332,2.333333333333332,0.16666666666666666,0.16666666666666666,0.0,1500.0,1504.9774003462219,40,hole_avoidance,-39.889836919147264,-37.71232831698163,-13.44726643088712,-13.11040633037296,-18.728473654910438,-16.455227785919295,0.005555555555555556,0.005376344086021505
24,control,28.0,25.833333333333332,-2.166666666666668,0.3333333333333333,0.0,-0.3333333333333333,1500.0,1473.7316204839078,40,,-39.42350859017526,-37.99717338217338,-13.104449624449625,-13.104041514041514,-18.234530777864112,-18.028345543345544,0.01122334455667789,0.0
24,rating_only,28.0,26.0,-2.0,0.3333333333333333,0.0,-0.3333333333333333,1500.0,1474.7161049423871,40,,-39.42350859017526,-39.65776704138773,-13.104449624449625,-13.590472506420783,-18.234530777864112,-18.510036419519178,0.01122334455667789,0.0
24,rating_history,28.0,27.833333333333332,-0.16666666666666785,0.3333333333333333,0.5,0.16666666666666669,1500.0,1551.552274573705,40,hole_avoidance,-39.42350859017526,-35.2669244335911,-13.104449624449625,-13.295665445665446,-18.234530777864112,-20.00495522995523,0.01122334455667789,0.017063492063492062
25,control,26.5,26.5,0.0,0.0,0.0,0.0,1500.0,1500.0,40,,-36.15410052910053,-37.65433182218415,-13.529465133631799,-13.330835951072082,-21.6815815357482,-20.218833737892957,0.0,0.0
25,rating_only,26.5,26.5,0.0,0.0,0.0,0.0,1500.0,1500.0,40,,-36.15410052910053,-37.65433182218415,-13.529465133631799,-13.330835951072082,-21.6815815357482,-20.218833737892957,0.0,0.0
25,rating_history,26.5,23.833333333333332,-2.666666666666668,0.0,0.0,0.0,1500.0,1500.0,40,hole_avoidance,-36.15410052910053,-39.889845679012346,-13.529465133631799,-13.105485008818341,-21.6815815357482,-21.067544091710758,0.0,0.0
26,control,27.166666666666668,25.5,-1.6666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1484.736306793522,40,,-33.633434343434345,-38.10642720306513,-12.684007121018615,-13.599588122605365,-18.918891210960176,-20.50154214559387,0.007575757575757576,0.0
26,rating_only,27.166666666666668,27.166666666666668,0.0,0.16666666666666666,0.16666666666666666,0.0,1500.0,1531.2298601853572,40,,-33.633434343434345,-38.100971538040504,-12.684007121018615,-13.54347990026151,-18.918891210960176,-17.80514352612054,0.007575757575757576,0.005747126436781609
26,rating_history,27.166666666666668,25.5,-1.6666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1484.0338330211207,40,hole_avoidance,-33.633434343434345,-38.10642720306513,-12.684007121018615,-13.599588122605365,-18.918891210960176,-20.50154214559387,0.007575757575757576,0.0
27,control,27.0,27.833333333333332,0.8333333333333321,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1465.8520762554574,40,,-37.3780925247592,-37.03844358256123,-13.247895807895809,-13.035132714054283,-20.680572513905847,-17.011416959946374,0.005555555555555556,0.0
27,rating_only,27.0,30.333333333333332,3.333333333333332,0.16666666666666666,1.0,0.8333333333333334,1500.0,1542.801944528334,40,,-37.3780925247592,-39.28165584415584,-13.247895807895809,-13.582525653358987,-20.680572513905847,-20.096093875260543,0.005555555555555556,0.02638888888888889
27,rating_history,27.0,29.833333333333332,2.833333333333332,0.16666666666666666,0.16666666666666666,0.0,1500.0,1491.3459792162087,40,hole_avoidance,-37.3780925247592,-33.017395871956495,-13.247895807895809,-13.21933629959214,-20.680572513905847,-19.824786800148313,0.005555555555555556,0.005747126436781609
28,control,27.166666666666668,25.5,-1.6666666666666679,0.0,0.0,0.0,1500.0,1491.1460927236583,40,,-37.841296384774644,-35.519044566544565,-13.821100438791593,-12.81080586080586,-21.328913839783404,-18.398525641025643,0.0,0.0
28,rating_only,27.166666666666668,26.0,-1.1666666666666679,0.0,0.0,0.0,1500.0,1491.305604326331,40,,-37.841296384774644,-35.768364197530865,-13.821100438791593,-12.807804232804234,-21.328913839783404,-16.938514109347445,0.0,0.0
28,rating_history,27.166666666666668,28.833333333333332,1.6666666666666643,0.0,0.3333333333333333,0.3333333333333333,1500.0,1517.5483029500108,40,hole_avoidance,-37.841296384774644,-38.466668937219225,-13.821100438791593,-13.187863626288674,-21.328913839783404,-16.463848370337935,0.0,0.00980392156862745
29,control,26.0,28.666666666666668,2.666666666666668,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,40,,-38.708753163100994,-36.99942803766497,-13.24778678782302,-13.234103216027576,-19.226459819032282,-16.28054472409311,0.006172839506172839,0.0
29,rating_only,26.0,27.5,1.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,40,,-38.708753163100994,-38.219196033851205,-13.24778678782302,-12.978337754199824,-19.226459819032282,-16.436986863711002,0.006172839506172839,0.0
29,rating_history,26.0,27.5,1.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,40,hole_avoidance,-38.708753163100994,-38.219196033851205,-13.24778678782302,-12.978337754199824,-19.226459819032282,-16.436986863711002,0.006172839506172839,0.0
30,control,24.833333333333332,27.333333333333332,2.5,0.0,0.0,0.0,1500.0,1477.2999910841065,40,,-39.746423595561524,-35.16311195622205,-13.812773672687467,-13.487256056628427,-20.93758396775638,-20.284687308950982,0.0,0.0
30,rating_only,24.833333333333332,27.333333333333332,2.5,0.0,0.0,0.0,1500.0,1477.9997271295044,40,,-39.746423595561524,-35.16311195622205,-13.812773672687467,-13.487256056628427,-20.93758396775638,-20.284687308950982,0.0,0.0
30,rating_history,24.833333333333332,27.333333333333332,2.5,0.0,0.3333333333333333,0.3333333333333333,1500.0,1544.700281786389,40,hole_avoidance,-39.746423595561524,-36.36324575807335,-13.812773672687467,-12.916590646475704,-20.93758396775638,-19.52475825579274,0.0,0.011111111111111112
31,control,25.833333333333332,25.666666666666668,-0.1666666666666643,0.0,0.0,0.0,1500.0,1500.0,40,,-40.318447381925644,-36.44557560607161,-13.690946275946276,-13.281267119289359,-21.04328523060407,-23.89343966549489,0.0,0.0
31,rating_only,25.833333333333332,26.166666666666668,0.3333333333333357,0.0,0.0,0.0,1500.0,1500.0,40,,-40.318447381925644,-35.69949667616334,-13.690946275946276,-13.632241215574549,-21.04328523060407,-24.13843304843305,0.0,0.0
31,rating_history,25.833333333333332,26.5,0.6666666666666679,0.0,0.0,0.0,1500.0,1500.0,40,hole_avoidance,-40.318447381925644,-35.60443494776828,-13.690946275946276,-13.60903133903134,-21.04328523060407,-23.536457739791075,0.0,0.0
32,control,28.166666666666668,24.666666666666668,-3.5,0.5,0.0,-0.5,1500.0,1500.0,40,,-42.763665288567836,-41.24079803047194,-13.495556615631578,-12.791783620298114,-18.02234337376766,-16.13810603245386,0.016353187042842214,0.0
32,rating_only,28.166666666666668,26.333333333333332,-1.8333333333333357,0.5,0.0,-0.5,1500.0,1500.0,40,,-42.763665288567836,-36.99671446328118,-13.495556615631578,-12.905621035636027,-18.02234337376766,-18.16732274888197,0.016353187042842214,0.0
32,rating_history,28.166666666666668,26.333333333333332,-1.8333333333333357,0.5,0.0,-0.5,1500.0,1500.0,40,hole_avoidance,-42.763665288567836,-37.82736580427735,-13.495556615631578,-12.859644024141774,-18.02234337376766,-16.915023898307258,0.016353187042842214,0.0
33,control,26.666666666666668,27.666666666666668,1.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,40,,-39.31921062105063,-36.36865048957003,-13.527176237363483,-12.690102171136655,-19.817219872953096,-16.646360153256705,0.005376344086021505,0.0
33,rating_only,26.666666666666668,27.666666666666668,1.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,40,,-39.31921062105063,-36.04865048957003,-13.527176237363483,-12.730102171136654,-19.817219872953096,-16.799693486590037,0.005376344086021505,0.0
33,rating_history,26.666666666666668,29.333333333333332,2.6666666666666643,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,40,hole_avoidance,-39.31921062105063,-33.426890432098766,-13.527176237363483,-12.842106481481482,-19.817219872953096,-16.814791666666668,0.005376344086021505,0.0
34,control,28.333333333333332,27.333333333333332,-1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,1516.0,40,,-36.360940767920745,-39.04343868345738,-13.095340421536195,-13.688799097635002,-16.147186749105547,-21.5290216834747,0.005050505050505051,0.011328725038402458
34,rating_only,28.333333333333332,27.333333333333332,-1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,1515.263693206478,40,,-36.360940767920745,-38.76082998780521,-13.095340421536195,-13.688799097635002,-16.147186749105547,-21.73916661101093,0.005050505050505051,0.011328725038402458
34,rating_history,28.333333333333332,26.666666666666668,-1.6666666666666643,0.16666666666666666,0.16666666666666666,0.0,1500.0,1468.736306793522,40,hole_avoidance,-36.360940767920745,-41.430674811051155,-13.095340421536195,-13.781749314007378,-16.147186749105547,-19.94811729489149,0.005050505050505051,0.005952380952380952
